Neighborhood,Neighborrhood_number,Neighborhood_lat,Neighborhood_long,Venue,Category,Venue_lat,Venue_long
Greenwood-Coxwell ,65,43.67081922609801,-79.32382568663644,The Social Gardener,Vegetarian / Vegan Restaurant,43.671492504534825,-79.32576413751154
Greenwood-Coxwell ,65,43.67081922609801,-79.32382568663644,Baldev Paan House,Indian Restaurant,43.671861012130975,-79.3236844528519
Greenwood-Coxwell ,65,43.67081922609801,-79.32382568663644,The Pantry,Restaurant,43.67274,-79.319281
Bay Street Corridor ,76,43.66022951958655,-79.38901479982854,Mercatto,Italian Restaurant,43.660390911898546,-79.38766421192705
Bay Street Corridor ,76,43.66022951958655,-79.38901479982854,Nando's,Portuguese Restaurant,43.66172826,-79.38639146
Bay Street Corridor ,76,43.66022951958655,-79.38901479982854,Somethin' 2 Talk About,Middle Eastern Restaurant,43.65839479027968,-79.38533765920816
Bay Street Corridor ,76,43.66022951958655,-79.38901479982854,Lebanon Express,Falafel Restaurant,43.66099058425057,-79.38297576948105
Bay Street Corridor ,76,43.66022951958655,-79.38901479982854,KAKA,Japanese Restaurant,43.65745745164475,-79.38419169987876
Bay Street Corridor ,76,43.66022951958655,-79.38901479982854,Thai Express,Restaurant,43.655835,-79.38813
Bay Street Corridor ,76,43.66022951958655,-79.38901479982854,Pizzeria Via Mercanti,Italian Restaurant,43.65679034740686,-79.38631071713952
Banbury-Don Mills ,42,43.73861741071634,-79.34863581580899,Congee Queen 皇后名粥,Cantonese Restaurant,43.735977372912316,-79.34735561803191
Banbury-Don Mills ,42,43.73861741071634,-79.34863581580899,Paramount Fine Foods,Middle Eastern Restaurant,43.73654713885171,-79.34347318005996
Banbury-Don Mills ,42,43.73861741071634,-79.34863581580899,Fabbrica,Italian Restaurant,43.736690644491425,-79.34495158253722
L'Amoreaux ,117,43.79146057995261,-79.30967739438486,Happy Lamb Hot Pot,Hotpot Restaurant,43.79161068939604,-79.31326863757754
L'Amoreaux ,117,43.79146057995261,-79.30967739438486,Dumpling & Szechuan Cuisine（川流不息店）,Chinese Restaurant,43.79156742171714,-79.31290015833144
Trinity-Bellwoods ,81,43.650591450868994,-79.41585710847977,Rhum Corner,Restaurant,43.65089556873813,-79.41316982839948
Trinity-Bellwoods ,81,43.650591450868994,-79.41585710847977,Foxley Bistro,Asian Restaurant,43.648642746283834,-79.42049525794245
Trinity-Bellwoods ,81,43.650591450868994,-79.41585710847977,La Banane,French Restaurant,43.64904020618134,-79.42059946263156
Trinity-Bellwoods ,81,43.650591450868994,-79.41585710847977,Bazara,Japanese Restaurant,43.64853491212856,-79.4205209529485
Trinity-Bellwoods ,81,43.650591450868994,-79.41585710847977,Marinella Simply Italian,Italian Restaurant,43.655028517585365,-79.41578415431819
Trinity-Bellwoods ,81,43.650591450868994,-79.41585710847977,La Palma,Italian Restaurant,43.651425690080174,-79.4102625042409
Trinity-Bellwoods ,81,43.650591450868994,-79.41585710847977,Cafe 668,Asian Restaurant,43.6511022937768,-79.41165356427142
Trinity-Bellwoods ,81,43.650591450868994,-79.41585710847977,Kasai Grill House,Korean Restaurant,43.655046185646796,-79.41610841087773
Trinity-Bellwoods ,81,43.650591450868994,-79.41585710847977,Sashimi Island,Sushi Restaurant,43.654927880038386,-79.4151606295883
Trinity-Bellwoods ,81,43.650591450868994,-79.41585710847977,Ghazale,Middle Eastern Restaurant,43.65504407620393,-79.41634449534261
Trinity-Bellwoods ,81,43.650591450868994,-79.41585710847977,Urban Thai,Thai Restaurant,43.654925112248286,-79.41557957805794
Weston-Pellam Park ,91,43.67292801896069,-79.45558529844811,Sabor Brasil Restaurant,Brazilian Restaurant,43.67444516608626,-79.45922778096221
