Neighborhood,Neighborhood_number,"Population, 2016",Population Change 2011-2016,Working Age (25-54 years),Latitude,Longitude
University ,79,7607,-2.2,3590,43.66270164911288,-79.39573151171598
Victoria Village ,43,17510,1.9,7170,43.72707160122911,-79.32031556233697
Waterfront Communities-The Island ,77,65913,52.0,45105,43.62678683539195,-79.37987112262238
West Hill ,136,27392,3.2,10765,43.76843244730552,-79.16929641460453
West Humber-Clairville ,1,33312,-2.3,13845,43.70684057030549,-79.58987130226424
Westminster-Branson ,35,26274,3.3,10865,43.776612463165364,-79.4558991808105
Weston ,113,17992,-1.0,7785,43.70379821471318,-79.52220955709411
Weston-Pellam Park ,91,11098,-7.6,5275,43.67292801896069,-79.45558529844811
Wexford/Maryvale ,119,27917,3.3,11380,43.75512124074966,-79.30239993553603
Willowdale East ,51,50434,12.0,25850,43.76520413110352,-79.40027823026283
Willowdale West ,37,16936,12.9,7480,43.7714382811877,-79.4249837927493
Willowridge-Martingrove-Richview ,7,22156,3.8,8140,43.683593910804255,-79.55782971751944
Woburn ,137,53485,0.3,21945,43.76593790754816,-79.22321588539639
Woodbine Corridor ,64,12541,7.2,6165,43.67581292233435,-79.31496884334845
Woodbine-Lumsden ,60,7865,0.5,3790,43.69382295978447,-79.31185758394044
Wychwood ,94,14349,2.6,6420,43.6790069617624,-79.42592959255352
Yonge-Eglinton ,100,11817,11.7,5860,43.70380723640983,-79.40447943680378
Yonge-St.Clair ,97,12528,7.5,5960,43.68876151346612,-79.39905314484629
York University Heights ,27,27593,-0.4,12290,43.759660804465796,-79.49915597743664
Yorkdale-Glen Park ,31,14804,0.8,5860,43.71745792679319,-79.4527512191505
